"tournamentMode","strategyName","pointsForStrategy","nbTurnTheoric","nbTurnReal","populationSize","nbPersonForStrategy","nbPointByPersonByStrategy","nbPointRatio"
"COPIE","Fetard","12220","301","301","301","43","284,1860465116279","0,9441396894074018"
"COPIE","SondeurIntelligent","10515","301","301","301","35","300,42857142857144","0,9981015662078786"
"COPIE","Mefiant","5346","301","301","301","18","297,0","0,9867109634551495"
"COPIE","Rancunier","5719","301","301","301","19","301,0","1,0"
"COPIE","Pavlovien","6831","301","301","301","23","297,0","0,9867109634551495"
"COPIE","Casanier","6622","301","301","301","22","301,0","1,0"
"COPIE","Lunatique","7627","301","301","301","27","282,48148148148147","0,9384766826627291"
"COPIE","EasyGo","5960","301","301","301","20","298,0","0,9900332225913622"
"COPIE","SondeurFou","8613","301","301","301","29","297,0","0,9867109634551495"
"COPIE","MajorMou","7787","301","301","301","26","299,5","0,9950166112956811"
"COPIE","CycliqueTendanceFetard","268","301","301","301","1","268,0","0,8903654485049833"
"COPIE","SondeurIntelligent","15905","401","401","401","41","387,9268292682927","0,9673985767289095"
"COPIE","HardJoss","21494","401","401","401","58","370,58620689655174","0,9241551294178347"
"COPIE","Mefiant","13124","401","401","401","34","386,0","0,9625935162094763"
"COPIE","Rancunier","11629","401","401","401","29","401,0","1,0"
"COPIE","EasyGo","14662","401","401","401","38","385,8421052631579","0,9621997637485235"
"COPIE","Fetard","10864","401","401","401","28","388,0","0,9675810473815462"
"COPIE","Lunatique","24009","401","401","401","66","363,77272727272725","0,9071639084107912"
"COPIE","MajorMou","10425","401","401","401","26","400,96153846153845","0,9999040859389986"
"COPIE","Pavlovien","9675","401","401","401","25","387,0","0,9650872817955112"
"COPIE","SondeurFou","10836","401","401","401","28","387,0","0,9650872817955112"
"COPIE","Casanier","10025","401","401","401","25","401,0","1,0"
"COPIE","CycliqueTendanceCasanier","906","401","401","401","3","302,0","0,7531172069825436"
"COPIE","EasyGo","34050","501","501","501","69","493,4782608695652","0,9849865486418466"
"COPIE","Lunatique","14810","501","501","501","31","477,741935483871","0,9535767175326766"
"COPIE","Mefiant","22908","501","501","501","46","498,0","0,9940119760479041"
"COPIE","Rancunier","26370","501","501","501","53","497,54716981132077","0,9931081233758897"
"COPIE","SondeurIntelligent","17068","501","501","501","34","502,0","1,001996007984032"
"COPIE","HardJoss","28398","501","501","501","59","481,3220338983051","0,9607226225515072"
"COPIE","SondeurFou","21629","501","501","501","43","503,0","1,003992015968064"
"COPIE","MajorMou","20571","501","501","501","41","501,7317073170732","1,0014604936468527"
"COPIE","Pavlovien","20120","501","501","501","40","503,0","1,003992015968064"
"COPIE","Fetard","18144","501","501","501","36","504,0","1,0059880239520957"
"COPIE","CycliqueTendanceCasanier","13527","501","501","501","27","501,0","1,0"
"COPIE","Casanier","11022","501","501","501","22","501,0","1,0"
"COPIE","MajorMou","23716","601","601","601","39","608,1025641025641","1,0118179103204061"
"COPIE","HardJoss","53314","601","601","601","63","846,2539682539683","1,4080764862794815"
"COPIE","EasyGo","50807","601","601","601","58","875,9827586206897","1,4575420276550577"
"COPIE","Lunatique","30192","601","601","601","41","736,390243902439","1,22527494825697"
